X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9824004.47324202,4883008.64427854,11308,No Parking,"12"" X 18""",$250 Fine,Streetlight, ,Parking, ,R7-1,Champaign,12369,,AERIAL,A,,8542,,{C9615052-C89C-4D05-9C47-05C58476A239}
-9824465.46459204,4883009.1134872,11309,No Parking,"12"" X 18""", ,Streetlight, ,Parking, ,R7-1,Champaign,12376,,AERIAL,A,,8549,,{59FEAAF3-BDDC-48DA-B6DE-2A88CEFC9213}
-9824579.66888604,4883009.60283475,11310,No Parking,"12"" X 18""", ,Streetlight, ,Parking, ,R7-1,Champaign,12377,,AERIAL,A,,8550,,{7BE5E15B-F589-44FC-A7D2-2CCEDD0ADA16}
-9824751.88260087,4883008.42447723,11311,No Parking,"12"" X 18""", ,Streetlight, ,Parking, ,R7-1,Champaign,12378,,AERIAL,A,,8551,,{A90F6BDA-13DC-4CFF-A8FB-4383EE913F9D}
-9824807.21348065,4883008.65211817,11312,No Parking,"12"" X 18""", ,Punched Telespar, ,Parking, ,R7-1,Champaign,12379,,AERIAL,B,,8552,,{5591BFFB-2FB9-48EC-9EF2-A156334EB086}
-9823577.47018541,4883152.34871173,11313,One Way Left,"18"" X 24""", ,Traffic Signal Standard, ,Regulatory, ,R6-2L,Champaign,12380,,AERIAL,K,,8553,,{2A968DDA-9FF9-4131-A694-39FAACD80E9E}
-9823607.36758716,4883133.89728968,11314,One Way Left,"18"" X 24""", ,Traffic Signal Standard, ,Regulatory, ,R6-2L,Champaign,12381,,AERIAL,K,,8554,,{34C611AF-7E20-4174-9D02-B4A0DAC9BF5F}
-9823601.27768455,4883117.3323419,11315,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1L,Champaign,12382,,AERIAL,K,,8555,,{FBD1788F-5953-4F3C-B3CF-89B36E5C8451}
-9823600.65734151,4883015.40998039,11316,One Way Left,"18"" X 24""", ,Streetlight, ,Regulatory,,R6-2L,Champaign,12383,,AERIAL,K,,8556,,{82EB2060-AB7D-4F51-BABD-56E5B93ABC22}
-9821782.82882157,4882715.9943391,11317,One Way Right,"12"" X 36""", ,Unpunched Telespar, ,Regulatory, ,R6-1R,Champaign,12384,,AERIAL,J,,8557,,{5977FF37-9D7D-43CB-8877-610B2F2091DF}
-9821782.82882157,4882715.9943391,11318,One Way Left,"12"" X 36""", ,Unpunched Telespar, ,Regulatory, ,R6-1L,Champaign,12385,,AERIAL,J,,8557,,{E9AB0C86-A887-4EC1-BE18-2FFDA7D1443B}
-9821782.74354635,4882578.04459945,11319,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1L,Champaign,12386,,AERIAL,J,,8558,,{790E5A85-186C-4145-816B-01DA0F812AFC}
-9821782.74354635,4882578.04459945,11320,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1R,Champaign,12387,,AERIAL,J,,8558,,{57F22CE3-A9E3-4225-80C4-EB6DDF39C91F}
-9821751.23376278,4882596.33433701,11321,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1R,Champaign,12388,,AERIAL,J,,8158,,{FB508C9A-BE4C-43FA-A9E0-21F74DF12878}
-9821751.23376278,4882596.33433701,11322,One Way Left,"12"" X 36""", ,Unpunched Telespar, ,Regulatory, ,R6-1L,Champaign,12389,,AERIAL,J,,8158,,{AB21794D-36E1-4755-ABCC-B67790CF2F8E}
-9821752.67305123,4882458.16135602,11323,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1L,Champaign,12390,,AERIAL,J,,8415,,{67CD204F-06E5-42B3-9830-61E14CA82CB1}
-9821752.67305123,4882458.16135602,11324,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1R,Champaign,12391,,AERIAL,J,,8415,,{7B406297-8EC9-4907-B53E-40B29FD6B4E3}
-9821793.88675493,4882434.24304625,11325,One Way Right,"12"" X 36""", ,Unpunched Telespar, ,Regulatory, ,R6-1R,Champaign,12392,,AERIAL,J,,8559,,{7ADB6CF9-D591-4A8C-9CCD-48CB33DDC55D}
-9821788.22025908,4882441.27637389,11326,One Way Left,"12"" X 36""", ,Unpunched Telespar, ,Regulatory, ,R6-1L,Champaign,12393,,AERIAL,J,,8560,,{209C7164-E11A-4998-958D-8ED4525DB9C3}
-9821757.9486616,4882825.2339675,11327,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1R,Champaign,12394,,AERIAL,J,,8561,,{443B4B74-A0CC-41D6-AA54-A3FE2E797690}
-9821758.42916499,4882801.38914718,11328,One Way Right,"12"" X 36""", ,Streetlight, ,Regulatory, ,R6-1R,Champaign,12395,,AERIAL,J,,8562,,{FBC25F02-25EF-498E-9F7C-625B0A998C20}
-9821758.42916499,4882801.38914718,11329,One Way Left,"12"" X 36""", ,Streetlight, ,Regulatory, ,R6-1L,Champaign,12396,,AERIAL,J,,8562,,{DE92A343-D5BE-4F67-8A33-B2F236088D34}
-9823600.25641121,4882873.95163995,11330,One Way Left,"18"" X 24""", ,Streetlight, ,Regulatory, ,R6-2L,Champaign,12399,,AERIAL,K,,8564,,{7B303E63-4DFC-488E-8257-36FE55628EB7}
-9823601.35075069,4882859.75248518,11331,One Way Left,"12"" X 36""", ,Traffic Signal Standard, ,Regulatory, ,R6-1L,Champaign,12400,,AERIAL,K,,8364,,{CA881A7D-4B6C-4652-89BD-9B1BA951BFDB}
-9823576.3413132,4882869.60197354,11332,One Way Right,"18"" X 24""", ,Traffic Signal Standard, ,Regulatory, ,R6-2R,Champaign,12401,,AERIAL,K,,8565,,{E205D83F-5CBE-4252-AAB6-817894BDAEF8}
-9823576.3413132,4882869.60197354,11333,One Way Left,"18"" X 24""", ,Traffic Signal Standard, ,Regulatory, ,R6-2L,Champaign,12402,,AERIAL,K,,8565,,{3A1F3270-3FB0-4E89-895C-D5CA9CC7B91D}
-9823582.00402717,4882924.51456631,11334,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,,R6-1R,Champaign,12403,,AERIAL,K,,8447,,{48EF00A7-1596-4DD9-B2FE-EBFE69AED92B}
-9823582.00402717,4882924.51456631,11335,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1L,Champaign,12404,,AERIAL,K,,8447,,{67DFB390-1FDE-4E6B-A5CB-7B68F5A9B4EE}
-9823578.67300879,4883007.84804969,11336,One Way Left,"18"" X 24""", ,Unpunched Telespar, ,Regulatory, ,R6-2L,Champaign,12405,,AERIAL,K,,8566,,{DABF5FF2-6EFF-4947-AC7C-A0F6CBDC85BE}
-9823424.61125145,4883235.45365006,11337,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1R,Champaign,12406,,AERIAL,K,,8567,,{47DE3AFB-0948-45B1-BAEB-C1F5F1FB7FD3}
-9823579.17121299,4883289.91645596,11338,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12407,,AERIAL,K,,8568,,{A3A55648-5AD1-44BF-BBC8-E4D7518FCE75}
-9823579.17121299,4883289.91645596,11339,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12408,,AERIAL,K,,8568,,{69CC20D5-CBB8-4CC4-9DAD-5A0416D1FAB9}
-9823584.43047887,4883344.60493011,11340,One Way Right,"18"" X 24""", ,Punched Telespar, ,Regulatory, ,R6-2R,Champaign,12409,,AERIAL,K,,8569,,{6E015E5F-2FF4-4893-887E-BAA02FD9FBA2}
-9823575.39536021,4883432.32960551,11341,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1L,Champaign,12410,,AERIAL,K,,8570,,{79EDB601-C55F-441C-812D-75FB02EBE80D}
-9823575.39536021,4883432.32960551,11342,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12411,,AERIAL,K,,8570,,{4B6D9A91-361D-4C91-8406-1ED84640F4A8}
-9823603.04795011,4883440.85120281,11343,One Way Left,"12"" X 36""", ,Streetlight, ,Regulatory, ,R6-1L,Champaign,12412,,AERIAL,K,,6222,,{81BE9F30-63FB-4CC2-A8F2-29EF2AB3DA44}
-9823601.9925355,4883343.82076008,11344,One Way Left,"12"" X 36""", ,Streetlight, ,Regulatory, ,R6-1L,Champaign,12413,,AERIAL,K,,8571,,{340C8F6D-253E-463E-BE57-BC4F0C030D9B}
-9823602.37864097,4883296.9291487,11345,One Way Left,"12"" X 36""", ,Punched Telespar, ,Regulatory, ,R6-1L,Champaign,12414,,AERIAL,K,,8371,,{C2AE0A0C-11CB-4DE3-BABA-E5B9811E919A}
-9823608.04693295,4883273.58362033,11346,One Way Right,"12"" X 36""", ,Punched Telespar, ,Regulatory,back to back,R6-1R,Champaign,12415,,AERIAL,K,,8572,,{B912E25D-1ABD-40BD-A76A-47CDB55D5326}
